ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
864,\Device\HarddiskVolume3\Windows\System32\services.exe,109,258,0,1,1747937577,1747937686,109,1747937577,1175,0,3,0,1172,1175,0,0,0,0,0,0,60,0,0,0,0,0,605,0,0,0,0,0,9,125,0,0
4824,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,68,276,0,1,1747937577,1747937689,111,1747937577,476,0,0,0,476,476,0,0,0,0,0,0,0,0,0,2,99,1073700803,352,0,0,0,0,0,12,0,0,0
3316,\Device\HarddiskVolume3\Windows\System32\svchost.exe,107,281,0,1,1747937577,1747937687,109,1747937577,4308,286,76,0,3946,4308,0,0,0,0,0,639,0,0,0,2,830,1073699659,2411,0,0,0,0,9,10,217,0,0
4852,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,112,290,0,1,1747937577,1747937689,112,1747937577,15085,5,0,0,15080,15084,0,0,1117,0,0,0,0,0,0,0,0,0,8035,0,0,0,0,0,12,0,0,0
3156,\Device\HarddiskVolume3\Windows\System32\spoolsv.exe,0,272,0,1,1747937578,1747937649,71,1747937578,11,0,3,0,8,11,0,0,0,0,0,0,0,0,0,1,313,4294895944,0,0,0,0,0,0,8,0,0,0
884,\Device\HarddiskVolume3\Windows\System32\lsass.exe,109,255,0,1,1747937580,1747937689,109,1747937580,1265,29,10,0,1226,1245,0,0,0,0,0,757,0,0,0,1,76,4294955179,660,0,0,0,0,3,10,397,0,0
3332,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1747937580,1747937649,69,1747937580,37,2,5,0,30,37,0,0,0,0,0,0,0,0,0,1,702,4294912201,0,0,0,0,0,0,8,300,0,0
4364,\Device\HarddiskVolume3\Windows\explorer.exe,107,250,0,1,1747937580,1747937687,107,1747937580,3522,14,5,0,3503,3522,0,0,1622,0,0,0,0,0,0,2,384,1073706048,1962,0,0,0,0,0,12,371,0,0
1520,\Device\HarddiskVolume3\Windows\System32\svchost.exe,108,281,0,1,1747937580,1747937689,108,1747937580,757,52,13,0,692,757,0,0,150,0,0,0,0,0,0,3,1068,805265110,388,0,0,0,0,9,9,125,0,0
1904,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,108,266,0,1,1747937580,1747937689,108,1747937580,324,0,0,0,324,324,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,9,0,0,0
