AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,5416,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
2,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,6956,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
3,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,1512,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
4,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,8444,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
5,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,8716,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
6,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,8984,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
7,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,8292,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
8,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,9340,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
9,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,9608,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
10,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,9872,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
11,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,10144,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\net.exe"
12,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,10204,"\Device\HarddiskVolume5\new\ransomware_high_confidence\hive\ea953cb3c4858e971dc4d75a2a11a6d0af42af36c0cad9c3f1e08d4c6e5f2ef8.exe","\Device\HarddiskVolume3\Windows\System32\sc.exe"
