AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Stack Violation",5492,"2025-05-22 18:14:06",0x5410169,0,"\Device\HarddiskVolume5\new\ransomware_high_confidence\makop\94658982002db6acea22c68b7619f71154933effd6428a81a235aba6e2789328.exe","\??\D:\new\ransomware_high_confidence\makop\94658982002db6acea22c68b7619f71154933effd6428a81a235aba6e2789328.exe"
2,"Remote Thread Creation",3668,"2025-05-22 18:14:06",0x0,5492,"\Device\HarddiskVolume5\new\ransomware_high_confidence\makop\94658982002db6acea22c68b7619f71154933effd6428a81a235aba6e2789328.exe","\Device\HarddiskVolume5\new\ransomware_high_confidence\makop\94658982002db6acea22c68b7619f71154933effd6428a81a235aba6e2789328.exe"
3,"Remote Thread Creation",5492,"2025-05-22 18:14:06",0x0,3292,"\Device\HarddiskVolume5\new\ransomware_high_confidence\makop\94658982002db6acea22c68b7619f71154933effd6428a81a235aba6e2789328.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
4,"Remote Thread Creation",5492,"2025-05-22 18:14:06",0x0,5416,"\Device\HarddiskVolume5\new\ransomware_high_confidence\makop\94658982002db6acea22c68b7619f71154933effd6428a81a235aba6e2789328.exe","\Device\HarddiskVolume5\new\ransomware_high_confidence\makop\94658982002db6acea22c68b7619f71154933effd6428a81a235aba6e2789328.exe"
