AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,996,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\taskkill.exe"
2,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,2472,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\reg.exe"
3,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,2016,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\reg.exe"
4,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,2712,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\schtasks.exe"
5,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,1936,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\netsh.exe"
6,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,7156,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\sc.exe"
7,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,8284,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\sc.exe"
8,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,8304,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\sc.exe"
9,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,8364,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\sc.exe"
10,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,8416,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\sc.exe"
11,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,8488,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\sc.exe"
12,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,9064,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\sc.exe"
13,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,9092,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\sc.exe"
14,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,9244,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\taskkill.exe"
15,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,9260,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\taskkill.exe"
16,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,9292,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\taskkill.exe"
17,"Remote Thread Creation",3668,"2025-05-22 18:14:44",0x0,9340,"\Device\HarddiskVolume5\new\ransomware_high_confidence\thanos\779db1c725f71e54d4f31452763784abe783afa6a78cc222e17796b0045f33fc.ex","\Device\HarddiskVolume3\Windows\System32\taskkill.exe"
