AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,4236,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\793dcc731fa2c6f7406fd52c7ac43926ac23e39badce09677128cce0192e19b0.","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
2,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,5256,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\793dcc731fa2c6f7406fd52c7ac43926ac23e39badce09677128cce0192e19b0.","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
3,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,8328,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\793dcc731fa2c6f7406fd52c7ac43926ac23e39badce09677128cce0192e19b0.","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
4,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,8596,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\793dcc731fa2c6f7406fd52c7ac43926ac23e39badce09677128cce0192e19b0.","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
5,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,8776,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\793dcc731fa2c6f7406fd52c7ac43926ac23e39badce09677128cce0192e19b0.","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
6,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,8956,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\793dcc731fa2c6f7406fd52c7ac43926ac23e39badce09677128cce0192e19b0.","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
7,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,9476,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\793dcc731fa2c6f7406fd52c7ac43926ac23e39badce09677128cce0192e19b0.","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
8,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,9684,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\793dcc731fa2c6f7406fd52c7ac43926ac23e39badce09677128cce0192e19b0.","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
9,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,10216,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\793dcc731fa2c6f7406fd52c7ac43926ac23e39badce09677128cce0192e19b0.","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
10,"Remote Thread Creation",2336,"2025-05-22 18:14:44",0x0,10412,"\Device\HarddiskVolume5\new\ransomware_high_confidence\exorcist\793dcc731fa2c6f7406fd52c7ac43926ac23e39badce09677128cce0192e19b0.","\Device\HarddiskVolume3\Windows\System32\cmd.exe"
