AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Remote Thread Creation",4844,"2025-05-22 18:14:34",0x0,1536,"\Device\HarddiskVolume5\new\ransomware_high_confidence\wastedlocker\ae255679f487e2e9075ffd5e8c7836dd425229c1e3bd40cfc46fbbceceec7","\Device\HarddiskVolume3\Users\wineleven\AppData\Roaming\Winlogon:bin"
2,"Remote Thread Creation",1536,"2025-05-22 18:14:34",0x0,5440,"\Device\HarddiskVolume3\Users\wineleven\AppData\Roaming\Winlogon:bin","\Device\HarddiskVolume3\Windows\System32\vssadmin.exe"
3,"Remote Thread Creation",1536,"2025-05-22 18:14:34",0x0,4320,"\Device\HarddiskVolume3\Users\wineleven\AppData\Roaming\Winlogon:bin","\Device\HarddiskVolume3\Windows\SysWOW64\takeown.exe"
4,"Remote Thread Creation",1536,"2025-05-22 18:14:34",0x0,4284,"\Device\HarddiskVolume3\Users\wineleven\AppData\Roaming\Winlogon:bin","\Device\HarddiskVolume3\Windows\SysWOW64\icacls.exe"
