AlertID,AlertType,SourceProcessID,Timestamp,ViolatingAddress,TargetProcessID,SourcePath,TargetPath
1,"Remote Thread Creation",5076,"2025-05-22 18:14:06",0x0,3172,"\Device\HarddiskVolume5\new\ransomware_high_confidence\ryuk\4992a629599d25933b55fee0b69198e80ecdcb3727a0b11b3d2891e6cd5da555.exe","\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe"
2,"Parent PID Spoofing",6680,"2025-05-22 18:14:06",0x0,5076,"\Device\HarddiskVolume5\new\ransomware_high_confidence\ryuk\4992a629599d25933b55fee0b69198e80ecdcb3727a0b11b3d2891e6cd5da555.exe","\??\C:\WINDOWS\SysWOW64\WerFault.exe"
