ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications,Cluster
936,\Device\HarddiskVolume4\Windows\System32\services.exe,508,258,0,1,1746013719,1746014228,509,1746013719,5029,0,7,0,5022,5029,0,0,0,0,0,0,48,0,0,14,4422,33994135,590,0,0,0,0,0,9,230,0,0,0
3560,\Device\HarddiskVolume4\ProgramData\Microsoft\Windows Defender\Platform\4.18.25030.2-0\MsMpEng.exe,509,281,0,1,1746013720,1746014229,509,1746013720,8823,572,13,1,8237,8811,0,1817,522,0,0,207,0,0,6,12,10813,60411817,1037,0,0,0,8,7,10,192,0,0,3
4740,\Device\HarddiskVolume4\Windows\System32\sihost.exe,490,280,0,1,1746013720,1746014210,490,1746013720,23011,722,4,0,22285,23011,4,0,6000,0,0,0,0,0,0,13,13734,45322247,2816,0,0,0,0,3,14,0,0,0,0
684,\Device\HarddiskVolume4\Windows\System32\svchost.exe,490,281,0,1,1746013720,1746014222,501,1746013720,28882,661,189,12,28020,28762,0,0,2999,0,0,624,96,0,62,10,2250,107472180,3526,0,0,0,0,3,16,254,0,0,0
5320,\Device\HarddiskVolume4\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,403,289,0,1,1746013720,1746014124,403,1746013720,12017,430,57,8,11522,11633,0,0,973,0,0,0,0,0,0,6,4013,339673935,1786,0,0,0,0,4,13,309,0,0,0
2444,\Device\HarddiskVolume4\Windows\System32\svchost.exe,501,281,0,1,1746013720,1746014222,501,1746013720,61014,311,1300,1,59402,60942,0,0,350,0,0,103,0,0,0,17,42034,14330225,7305,0,0,0,0,2,9,147,0,0,0
8876,\Device\HarddiskVolume4\Windows\System32\SecurityHealthService.exe,508,306,0,1,1746013721,1746014229,508,1746013721,2006,51,4,1,1950,1970,0,27,584,0,0,0,0,0,0,5,143658,603911736,236,0,0,0,0,2,10,100,0,0,0
572,\Device\HarddiskVolume4\Windows\System32\svchost.exe,506,281,0,1,1746013721,1746014229,508,1746013721,26797,48,1,0,26748,26797,0,0,17626,0,0,0,0,0,656,9,4119,143305371,3166,0,0,0,0,0,13,0,0,0,0
3500,\Device\HarddiskVolume4\Windows\System32\svchost.exe,508,281,0,1,1746013722,1746014231,508,1746013722,17404,5248,0,0,12156,17349,0,0,1068,0,0,0,0,0,0,15,30945,25484703,2055,0,0,0,0,43,9,0,0,0,0
8448,\Device\HarddiskVolume4\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,227,260,0,1,1746013725,1746013954,228,1746013725,15198,136,131,0,14931,15181,0,0,7776,0,0,90,0,0,18,3,768,805258000,3991,0,0,0,0,1,13,328,0,0,0
976,\Device\HarddiskVolume4\Windows\System32\lsass.exe,504,255,0,1,1746013726,1746014233,506,1746013726,3624,42,43,0,3539,3608,0,0,0,0,0,2355,0,0,0,0,0,0,428,0,0,0,0,2,10,205,0,0,0
1904,\Device\HarddiskVolume4\Windows\System32\VBoxService.exe,361,266,0,1,1746013726,1746014233,506,1746013726,282,0,0,0,282,282,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,9,0,0,0,0
5580,\Device\HarddiskVolume4\Windows\explorer.exe,499,250,0,1,1746013726,1746014233,506,1746013726,696277,5381,1028,34,689834,694005,0,143,281268,0,0,88,0,0,131,5,717,452971444,83711,0,0,0,0,0,15,434,0,0,1
1772,\Device\HarddiskVolume4\Windows\System32\svchost.exe,191,281,0,1,1746013727,1746014228,501,1746013727,175,0,2,0,173,175,0,0,66,0,0,0,0,0,0,7,10079,254726305,31,0,0,0,0,2,12,0,0,0,0
2388,\Device\HarddiskVolume4\Windows\System32\svchost.exe,501,281,0,1,1746013727,1746014228,501,1746013727,6797,28,0,0,6769,6783,0,0,0,0,0,0,0,0,0,10,20252,107461272,802,0,0,0,0,0,9,0,0,0,0
5720,\Device\HarddiskVolume4\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,387,311,0,1,1746013727,1746014117,389,1746013727,6867,18,15,0,6834,6859,0,0,464,0,0,0,0,0,0,7,8341,254758295,1054,0,0,0,0,0,13,389,0,0,0
716,\Device\HarddiskVolume4\Windows\System32\csrss.exe,499,255,0,1,1746013727,1746014228,500,1746013727,1133,0,0,0,1133,1133,0,0,0,0,0,0,0,0,0,12,8019,60437205,132,0,0,0,0,0,11,0,0,0,0
6696,\Device\HarddiskVolume4\Windows\System32\wbem\WmiPrvSE.exe,11,291,0,1,1746013727,1746013876,148,1746013727,331,3,4,2,322,331,0,0,197,0,0,0,0,0,0,3,14787,805279833,1636,0,0,0,0,2,8,301,0,0,2
7172,\Device\HarddiskVolume4\Windows\System32\svchost.exe,14,281,0,1,1746013728,1746014125,397,1746013728,1186,4,1,0,1181,1186,0,0,5,0,0,0,0,0,0,1,2100,4294879998,4714,0,0,0,0,0,12,0,0,0,2
7508,\Device\HarddiskVolume4\Windows\System32\ctfmon.exe,498,290,0,1,1746013728,1746014226,498,1746013728,139319,198,188,0,138933,139319,0,0,194,0,0,0,0,0,0,5,5486,452958024,16783,0,0,0,0,0,13,471,0,0,0
1784,\Device\HarddiskVolume4\Windows\System32\svchost.exe,429,281,0,1,1746013728,1746014210,482,1746013728,1828,2,1,0,1825,1826,0,0,322,0,0,0,0,0,1,10,50420,107467947,251,0,0,0,0,0,12,0,0,0,0
6876,\Device\HarddiskVolume4\Windows\System32\svchost.exe,370,281,0,1,1746013728,1746014115,387,1746013728,539,0,1,0,538,539,0,0,272,0,0,0,0,0,0,3,346,805196050,81,0,0,0,0,0,12,457,0,0,0
7020,\Device\HarddiskVolume4\Windows\System32\RuntimeBroker.exe,387,320,0,1,1746013728,1746014115,387,1746013728,31597,284,4,0,31309,31444,0,0,3146,0,0,0,0,0,0,4,4541,603893676,4883,0,0,0,0,0,13,552,0,0,0
6964,\Device\HarddiskVolume4\Windows\System32\svchost.exe,500,281,0,1,1746013728,1746014228,500,1746013728,804,56,29,5,714,804,0,0,116,0,0,0,0,0,0,4,4526,603888868,96,0,0,0,0,12,10,237,0,0,0
4252,\Device\HarddiskVolume4\Windows\System32\svchost.exe,419,281,0,1,1746013728,1746014210,482,1746013728,5286,0,1,0,5285,5286,0,0,972,0,0,0,0,0,0,5,15803,452921884,744,0,0,0,0,0,13,391,0,0,0
3188,\Device\HarddiskVolume4\Windows\System32\dllhost.exe,0,281,0,1,1746013728,1746013736,7,1746013728,459,0,0,0,459,459,0,0,325,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,2
5128,\Device\HarddiskVolume4\Windows\System32\taskhostw.exe,482,276,0,1,1746013728,1746014210,482,1746013728,2223,0,0,0,2223,2223,0,0,200,0,0,0,0,0,0,10,8114,107478788,273,0,0,0,0,0,12,0,0,0,0
1304,\Device\HarddiskVolume4\Windows\System32\dwm.exe,365,235,0,1,1746013728,1746014202,474,1746013728,450,12,10,0,428,444,0,0,0,0,0,0,0,0,0,8,2466,191077205,65,0,0,0,0,5,12,0,0,0,0
2924,\Device\HarddiskVolume4\Windows\System32\svchost.exe,505,281,0,1,1746013728,1746014233,505,1746013728,1001,40,0,0,961,1001,0,0,0,0,0,0,0,0,0,11,11385,80583923,118,0,0,0,0,4,9,0,0,0,0
6012,\Device\HarddiskVolume4\Windows\System32\svchost.exe,471,281,0,1,1746013728,1746014199,471,1746013728,589,0,0,0,589,589,0,0,388,0,0,0,0,0,1,1,1323,4294498803,63,0,0,0,0,0,12,0,0,0,0
5716,\Device\HarddiskVolume4\Windows\System32\svchost.exe,192,281,0,1,1746013730,1746013922,192,1746013730,1000,8,0,1,991,996,0,0,145,0,0,0,0,0,0,2,493,1073666943,312,0,0,0,0,0,13,0,0,0,2
788,\Device\HarddiskVolume4\Windows\System32\csrss.exe,438,255,0,1,1746013731,1746014234,502,1746013731,3515,0,1,0,3514,3515,0,0,0,0,0,0,0,0,0,9,23966,143301736,479,0,0,0,0,0,11,0,0,0,0
4552,\Device\HarddiskVolume4\Windows\System32\svchost.exe,0,281,0,1,1746013732,1746014230,497,1746013732,33,0,1,0,32,33,0,0,0,0,0,0,0,0,0,1,1738,4294646463,0,0,0,0,0,0,8,0,0,0,2
3440,\Device\HarddiskVolume4\Windows\System32\svchost.exe,494,281,0,1,1746013734,1746014229,495,1746013734,16602,164,44,0,16394,16602,0,0,104,0,0,104,0,0,0,18,20215,10743783,2016,0,0,0,0,1,10,133,0,0,0
5440,\Device\HarddiskVolume4\Windows\System32\svchost.exe,400,281,0,1,1746013734,1746014134,400,1746013734,107428,5342,1,0,102085,107428,0,0,260,0,0,0,0,0,0,7,10662,254754862,16110,0,0,0,0,5,11,554,0,0,0
7208,\Device\HarddiskVolume4\Windows\System32\sppsvc.exe,0,270,0,1,1746013734,1746013734,0,1746013734,53,0,0,0,53,53,0,0,29,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,2
1620,\Device\HarddiskVolume4\Windows\System32\svchost.exe,492,281,0,1,1746013734,1746014228,493,1746013734,2179,21,63,30,2065,2175,0,0,4,0,0,0,0,0,0,4,3826,603937265,256,0,0,0,0,5,14,359,0,0,0
3796,\Device\HarddiskVolume4\Windows\System32\ApplicationFrameHost.exe,402,316,0,1,1746013734,1746014137,402,1746013734,7903,26,21,22,7834,7903,0,0,4292,0,0,0,0,0,9,6,4729,339668866,1179,0,0,0,0,0,14,125,0,0,0
1980,\Device\HarddiskVolume4\Windows\System32\svchost.exe,478,281,0,1,1746013734,1746014213,478,1746013734,403,0,1,0,402,403,0,0,0,0,0,0,0,0,0,7,15200,254735046,50,0,0,0,0,0,9,0,0,0,0
